playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
abadfe01,2023,1,COL,NL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbotan01,2023,1,CIN,NL,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbotan01,2024,1,CIN,NL,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbotan01,2025,1,CIN,NL,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abbotco01,2023,1,WAS,NL,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abelmi01,2025,1,PHI,NL,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abelmi01,2025,2,MIN,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abnerph01,2025,1,ARI,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abramcj01,2023,1,WAS,NL,151,563,83,138,28,6,18,64,47,4,32,118,2,13,3,3,7
abramcj01,2024,1,WAS,NL,138,541,79,133,29,6,20,65,31,12,40,128,3,16,1,4,4
abramcj01,2025,1,WAS,NL,144,580,92,149,35,5,19,60,31,3,37,125,1,14,1,3,5
abreual01,2023,1,NYA,AL,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abreubr01,2023,1,HOU,AL,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abreubr01,2024,1,HOU,AL,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abreubr01,2025,1,HOU,AL,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abreujo02,2023,1,HOU,AL,141,540,62,128,23,1,18,90,0,1,42,130,1,6,0,6,16
abreujo02,2024,1,HOU,AL,35,113,10,14,2,0,2,7,0,0,4,28,0,2,0,1,4
abreuwi02,2023,1,BOS,AL,28,76,10,24,6,0,2,14,3,1,9,23,0,0,0,0,0
abreuwi02,2024,1,BOS,AL,132,399,59,101,33,2,15,58,8,3,40,125,0,3,0,5,7
abreuwi02,2025,1,BOS,AL,115,373,53,92,17,0,22,69,6,3,40,101,5,0,1,3,8
acevedo01,2023,1,OAK,AL,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acostma02,2025,1,MIA,NL,19,54,7,11,1,0,3,5,1,2,6,17,0,1,0,0,0
