playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
abadfe01,2023,1,COL,NL,1,0,6,0,0,0,0,19,11,3,2,3,2,0.379,4.26,0,0,0,0,32,2,3,0,0,2
abbotan01,2023,1,CIN,NL,8,6,21,21,0,0,0,328,100,47,16,44,120,0.244,3.87,0,1,1,1,459,0,47,0,5,6
abbotan01,2024,1,CIN,NL,10,10,25,25,0,0,0,414,127,57,25,52,114,0.24,3.72,1,5,2,0,586,0,60,1,2,6
abbotan01,2025,1,CIN,NL,10,7,29,29,1,1,0,499,148,53,19,43,149,0.235,2.87,0,4,3,0,684,0,60,3,4,10
abbotco01,2023,1,WAS,NL,1,2,22,0,0,0,0,118,48,29,9,19,40,0.306,6.64,0,4,4,1,183,10,29,0,3,5
abelmi01,2025,1,PHI,NL,2,2,6,6,0,0,0,75,25,14,7,9,21,0.255,5.04,0,2,1,0,108,0,14,0,0,1
abelmi01,2025,2,MIN,AL,1,2,4,2,0,0,0,42,18,13,1,7,18,0.305,8.36,0,0,0,0,66,1,14,0,0,2
abnerph01,2025,1,ARI,NL,0,0,5,0,0,0,0,11,5,2,0,3,5,0.333,4.91,0,0,0,0,18,0,2,0,0,1
abreual01,2023,1,NYA,AL,2,2,45,0,0,0,0,177,52,31,9,35,61,0.231,4.73,1,5,6,0,268,19,39,0,1,4
abreubr01,2023,1,HOU,AL,3,2,72,0,0,0,5,216,44,14,6,31,100,0.177,1.75,0,1,3,0,287,16,17,2,3,6
abreubr01,2024,1,HOU,AL,3,3,78,0,0,0,1,235,59,27,9,32,103,0.207,3.1,0,4,6,1,325,3,27,1,1,5
abreubr01,2025,1,HOU,AL,3,4,70,0,0,0,7,213,51,18,4,31,105,0.196,2.28,0,4,4,0,296,19,18,0,1,1
acevedo01,2023,1,OAK,AL,0,0,9,0,0,0,0,28,16,11,2,2,7,0.381,10.61,1,1,1,0,47,1,11,0,2,0
actonga01,2023,1,OAK,AL,0,0,6,0,0,0,0,17,9,8,3,5,5,0.346,12.71,2,0,1,0,32,3,8,0,0,0
actonga01,2025,1,TBA,AL,0,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,5,1,0,0,0,0
adamja01,2023,1,TBA,AL,4,2,56,0,0,0,12,163,35,18,7,20,69,0.181,2.98,0,2,9,0,222,22,21,0,0,4
adamja01,2024,1,TBA,AL,4,2,47,0,0,0,4,141,26,13,4,16,50,0.164,2.49,3,0,3,0,180,9,17,0,2,3
adamja01,2024,2,SDN,NL,3,0,27,0,0,0,0,80,14,3,1,7,31,0.152,1.01,1,2,3,1,102,1,3,0,0,2
adamja01,2025,1,SDN,NL,8,4,65,0,0,0,0,196,50,14,4,25,70,0.209,1.93,3,3,3,0,270,4,18,1,2,5
adamsau02,2023,1,ARI,NL,0,1,24,0,0,0,0,52,16,11,1,8,22,0.235,5.71,0,2,5,0,81,1,12,0,0,0
adamsau02,2024,1,OAK,AL,1,2,56,0,0,0,0,124,38,18,4,23,53,0.25,3.92,2,6,13,0,191,6,20,1,2,3
adamstr01,2025,1,MIN,AL,1,4,18,2,0,0,0,101,39,28,6,17,31,0.293,7.49,0,5,3,0,158,3,29,0,5,0
